Index,NO,NO2,NOx,NH3,CO,SO2,class
2328,7.3,34.42,0.0,26.68,0.68,2.8,0
8318,2.35,19.82,14.51,21.68,0.49,4.02,0
2930,10.92,25.0,25.5,15.29,0.88,4.16,0
1193,6.31,13.73,20.04,8.96,0.36,2.58,0
6436,12.65,29.28,40.04,42.08,2.23,7.97,1
1646,3.63,12.89,10.88,40.71,1.47,3.29,0
13414,23.74,0.46,22.6,6.99,1.97,7.99,0
9257,4.48,25.54,16.46,13.51,0.28,6.2,0
9305,5.07,25.48,17.48,14.17,0.45,6.81,0
680,5.32,13.02,11.34,10.32,0.52,11.22,0
12617,22.41,15.21,37.59,14.29,0.4,8.17,0
2779,9.36,33.48,28.09,15.46,0.78,5.86,1
14693,5.61,8.41,12.1,6.16,0.49,5.74,0
5641,8.15,16.93,24.7,44.27,0.71,7.08,1
1064,14.06,8.58,22.66,7.14,0.5,3.89,0
1854,6.9,18.2,14.16,23.29,1.36,2.51,0
7110,14.99,22.78,26.16,25.87,0.68,10.9,1
6335,55.13,57.84,99.81,52.94,1.56,20.52,2
10128,11.54,36.46,39.64,21.7,0.97,11.24,1
5308,9.42,14.86,24.28,21.58,0.76,5.34,0
1285,9.36,9.96,17.13,10.51,0.35,12.07,0
10124,2.87,16.03,14.57,18.77,0.88,8.6,0
5163,10.76,20.92,15.3,28.55,0.8,3.78,0
4849,7.01,7.41,11.35,8.46,0.6,3.23,0
7070,13.87,33.31,32.44,36.19,0.96,9.51,1
6742,68.51,75.66,56.71,32.24,0.99,46.67,2
2443,14.25,29.38,0.0,24.68,0.95,5.12,0
11490,46.48,54.57,101.01,27.78,1.38,13.41,2
9913,17.01,22.99,34.68,27.17,0.78,14.82,1
4626,8.68,15.11,19.82,39.26,2.56,12.75,1
11662,31.33,52.58,52.5,33.37,1.38,7.25,2
5069,14.74,20.78,18.85,91.94,0.76,23.22,3
4746,5.64,5.56,9.2,147.67,1.49,2.63,3
13814,1.95,15.04,9.57,5.93,1.45,4.82,0
13499,10.94,13.78,24.24,6.69,2.07,25.58,0
13790,1.36,5.51,1.18,3.13,0.19,2.21,0
4581,7.07,16.31,15.81,51.31,2.33,12.21,1
6621,155.29,90.79,53.89,58.97,1.28,25.33,4
10413,8.05,28.7,30.86,31.27,0.93,7.85,1
748,1.87,14.77,9.37,16.52,0.82,14.21,0
5609,6.64,16.17,22.76,39.28,0.84,4.55,1
3628,6.37,11.19,17.52,6.58,2.96,12.51,0
8246,19.93,19.02,53.12,14.76,0.61,13.15,1
