NO,NO2,NOx,NH3,CO,SO2
6.99,2.85,11.93,26.64,0.6,4.53
7.2,1.27,10.65,25.63,0.56,4.22
7.19,0.91,10.37,29.16,0.57,4.46
7.14,1.07,10.48,28.95,0.57,4.53
7.09,0.36,9.73,28.41,0.48,4.63
5.63,2.32,8.09,23.98,0.5,4.71
3.07,2.14,3.41,24.57,0.48,4.84
3,1.48,5.24,23.42,0.47,5.04
2.97,1.31,4.97,23.41,0.48,5.3
3.01,0.83,4.64,24.85,0.49,5.32
3.01,0.88,4.62,24.44,0.49,5.63
2.93,0.13,3.65,18.55,0.37,5.41
2.98,0.16,3.71,20.24,0.32,5.63
2.96,0.14,3.66,20.21,0.37,6.17
2.96,0.17,3.77,25.43,0.44,6.75
2.96,0.13,3.69,25.48,0.42,6.8
2.94,0.11,3.59,28.26,0.4,7.34
2.92,0.35,3.89,29.89,0.44,7.69
2.93,0.13,3.64,28.47,0.36,7.8
2.93,0.24,3.79,29.05,0.42,7.67
2.95,0.25,3.8,30.99,0.4,7.9
2.98,0.26,3.94,32.95,0.45,8.11
2.93,0.25,3.86,32.94,0.4,8.36
2.9,0.21,3.75,23.37,0.29,8.25
2.97,0.25,3.79,21.6,0.26,8.16
2.96,0.08,3.5,26,0.31,8.79
2.96,0.15,3.69,25.1,0.31,8.49
2.92,0.3,3.85,22.71,0.3,8.78
2.97,0.18,3.74,23.73,0.27,8.69
3.32,0.31,4.47,22.95,0.39,7.81
4.41,0.13,5.7,27.97,0.41,4.52
4.37,0.17,5.74,30,0.37,4.77
4.33,0.12,5.6,26.24,0.27,4.54
6.24,0.39,8.44,28.53,0.36,5.3
10.26,0.45,14.04,31.28,0.47,5.66
11.4,0.51,15.65,30.38,0.42,5.71
11.4,0.33,15.49,23.59,0.28,5.52
11.4,0.36,15.51,14.87,0.22,5.43
11.44,0.25,15.38,17.65,0.25,6.06
11.44,0.11,15.2,19.03,0.22,6.4
11.47,0.95,16.08,19.13,0.25,6.79
11.54,0.75,15.94,16.64,0.27,6.62
11.47,0.34,15.48,15.61,0.24,6.61
11.56,0.26,15.49,16.78,0.26,6.96
11.53,0.34,15.57,12.4,0.21,6.79
11.51,0.2,14.68,17.91,0.18,7.47
11.54,0.13,15.25,12.44,0.18,6.98
11.62,0.27,15.57,17.69,0.25,7.21
11.7,0.18,15.6,17.07,0.26,6.97
11.6,0.17,15.4,15.28,0.21,7.23
11.7,0.3,15.65,14.49,0.24,6.6
11.58,0.03,15.19,13.42,0.25,5.91
1.75,20.65,12.4,12.19,0.1,10.76
1.44,20.5,12.08,10.72,0.12,15.24
1.26,26,14.85,10.28,0.14,26.96
6.6,30.85,21.77,12.91,0.11,33.59
2.56,28.07,17.01,11.42,0.09,19
5.23,23.2,16.59,12.25,0.16,10.55
4.69,20.17,14.54,10.95,0.12,14.07
4.58,19.29,13.97,10.95,0.1,13.9
7.71,26.19,19.87,13.12,0.1,19.37
0.97,21.31,12.12,14.36,0.15,11.41
4.02,26.98,17.58,14.41,0.18,9.84
3.7,20.23,13.75,13.72,0.12,14.02
1.6,25.65,14.99,15.12,0.11,16.54
4.26,41.1,25.32,17.34,0.13,28.79
5.56,54.87,33.71,17.96,0.27,22.97
6.1,44.97,28.88,15.73,0.09,21.9
1.73,33.85,19.41,12.56,0.1,13.65
4.93,41.64,26.15,15.2,0.16,18.37
7.97,42.1,28.88,21.24,0.24,7.42
7.2,34.78,24.36,17.63,0.15,5.81
5.81,29.97,20.67,19.34,0.14,5.8
4.19,25,16.7,16,0.1,8.33
8.77,40.92,28.84,15.56,0.17,8.51
7.29,47.05,30.94,18.52,0.08,16.05
7.63,53.94,33.45,18.49,0.11,14.05
2.74,43.09,21.78,19.66,0.13,15.45
6.77,47.47,30.74,17.37,0.3,13.35
7.02,49.55,32.07,17.28,0.14,13.58
7.51,56,35.9,19.53,0.15,29.88
5.24,42,26.6,20.78,0.15,11.85
3.75,47.68,28.41,23.68,0.22,10.85
1.69,31.06,17.89,21.66,0.1,12.23
4.97,43.54,27.2,22.52,0.17,18.07
9.59,63.48,41.57,21.06,0.23,17.01
10.95,64.53,43.23,18.87,0.27,15.52
6.14,46.65,29.81,18.2,0.17,9.47
